Year,Month,Day,Country,State,City,Latitude,Longitude,Specificity,Success,Attack,Target,Terrorist,Weapon,Killed,Wound,Property,Property Value,Ransom,Ransom Demand
1972,2,22,India,Delhi,New Delhi,28.585836,77.153336,1,1,Hijacking,Airports & Aircraft,Palestinians,Explosives,0,0,0,,1,5000000
1975,1,2,India,Bihar,Samastipur,25.863042,85.781004,1,1,Bombing/Explosion,Government (General),Ananda Marga,Explosives,4,0,0,,,
1976,5,26,India,Delhi,New Delhi,28.585836,77.153336,1,1,Bombing/Explosion,Airports & Aircraft,Unknown,Explosives,0,0,1,,0,
1977,9,28,India,Maharashtra,Bombay,19.075984,72.877656,1,1,Hijacking,Airports & Aircraft,Japanese Red Army (JRA),Firearms,0,0,0,,1,6000000
1979,1,13,India,Assam,Unknown,26.200605,92.937574,4,1,Armed Assault,Police,Naga People,Firearms,,,1,,0,
1979,1,14,India,Manipur,Imphal,24.798346,93.94043,1,1,Assassination,Government (General),Unknown,Firearms,3,0,0,,0,
1979,4,26,India,Manipur,Unknown,24.663717,93.906269,4,1,Armed Assault,Police,Meitei extremists,Firearms,4,0,1,,0,
1979,6,14,India,Mizoram,Unknown,23.164543,92.937574,4,1,Assassination,Government (General),Mizo National Front,Firearms,1,0,0,,0,
1979,7,1,India,Assam,Unknown,26.200604,92.937574,4,1,Armed Assault,Government (General),Mizo National Front,Firearms,2,2,1,,0,
1979,7,2,India,Mizoram,Aizawl,23.727107,92.717639,1,1,Facility/Infrastructure Attack,Police,Mizo National Front,Unknown,,,1,,0,
1979,7,2,India,Mizoram,Aizawl,23.727107,92.717639,1,1,Facility/Infrastructure Attack,Telecommunication,Mizo National Front,Unknown,,,1,,0,
1979,8,8,India,Andhra Pradesh,Amapur,16.435329,77.831725,1,1,Unknown,Private Citizens & Property,Mizo National Front,Unknown,1,1,1,,0,
1979,8,19,India,Unknown,Raisikah,,,5,1,Armed Assault,Police,Mizo National Front,Firearms,1,0,1,,0,
1979,8,20,India,Mizoram,Champhai,23.469545,93.337934,1,1,Armed Assault,Police,Mizo National Front,Firearms,1,0,0,,0,
1979,8,25,India,Mizoram,Aizawl,23.727107,92.717639,1,1,Assassination,Government (General),Mizo National Front,Firearms,1,0,0,,0,
1979,8,26,India,Jharkhand,Jamshedpur,22.804567,86.202875,1,1,Bombing/Explosion,Religious Figures/Institutions,Muslims,Explosives,1,0,1,,0,
1979,8,27,India,Delhi,New Delhi,28.585836,77.153336,1,1,Armed Assault,Government (General),Mizo National Front,Firearms,1,1,1,,0,
1979,8,27,India,Delhi,New Delhi,28.585836,77.153336,1,1,Armed Assault,Police,Mizo National Front,Firearms,1,0,1,,0,
1979,8,29,India,Jharkhand,Jamshedpur,22.804567,86.202875,1,1,Bombing/Explosion,Private Citizens & Property,Muslims,Explosives,3,14,1,,0,
1979,9,8,India,Tamil Nadu,Chennai,13.08268,80.270718,1,1,Bombing/Explosion,Transportation,Naxalites,Explosives,3,0,1,30000,0,
1979,9,22,India,Manipur,Unknown,24.663717,93.906269,4,1,Armed Assault,Police,People's Liberation Army (India),Firearms,4,0,1,,0,
1979,12,5,India,Uttar Pradesh,Unknown,26.846709,80.946159,4,0,Assassination,Government (General),Unknown,Firearms,0,0,0,,0,
1979,12,12,India,Manipur,Unknown,24.663717,93.906269,4,1,Assassination,Government (General),Maoists,Unknown,1,0,0,,0,
1979,12,20,India,Bihar,Unknown,25.096074,85.313119,4,1,Armed Assault,Police,Naxalites,Firearms,3,1,1,,0,
1980,1,1,India,Manipur,Imphal,24.798346,93.94043,1,1,Assassination,Government (General),Maoists,Unknown,1,0,0,,0,
1980,1,9,India,Manipur,Unknown,24.663717,93.906269,4,1,Armed Assault,Government (General),Maoists,Firearms,2,4,1,,0,
1980,3,21,India,Unknown,Chiaplant,,,5,1,Assassination,Educational Institution,Mizo National Front,Firearms,1,0,0,,0,
1980,3,21,India,Uttar Pradesh,Tindol,25.410833,78.739167,1,1,Armed Assault,NGO,Mizo National Front,Incendiary,4,3,1,,0,
1980,4,4,India,West Bengal,Calcutta,22.551729,88.352341,1,1,Bombing/Explosion,Transportation,Unknown,Explosives,2,6,1,,0,
1980,4,25,India,Delhi,New Delhi,28.585836,77.153336,1,1,Assassination,Private Citizens & Property,Unknown,Firearms,1,0,0,,0,
1980,8,27,India,Tamil Nadu,Tirupattur,12.492222,78.567778,1,1,Bombing/Explosion,Police,Naxalites,Explosives,6,0,1,,0,
1980,11,8,India,Assam,Unknown,26.200605,92.937574,4,0,Bombing/Explosion,Utilities,Unknown,Explosives,0,0,0,,0,
1980,12,13,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Unknown,Explosives,0,0,1,,0,
1980,12,19,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Unknown,Explosives,0,0,1,,0,
1981,1,15,India,Manipur,Unknown,24.663717,93.906269,4,1,Unknown,Police,Unknown,Unknown,6,5,1,,0,
1981,1,28,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Military,Anti-Immigrant extremists,Explosives,,,1,,0,
1981,2,13,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Utilities,Anti-Immigrant extremists,Explosives,,,1,,0,
1981,3,18,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Government (General),Unknown,Explosives,0,0,1,,0,
1981,4,5,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Utilities,Unknown,Explosives,,,1,,0,
1981,4,6,India,Assam,Jorhat,26.75602,94.20945,1,1,Assassination,Government (General),Unknown,Explosives,1,0,0,,0,
1981,4,27,India,Nagaland,Unknown,26.158435,94.562443,4,1,Assassination,Government (General),Insurgents,Firearms,3,0,0,,0,
1981,6,14,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Unknown,Explosives,,,1,,0,
1981,7,24,India,Unknown,Unknown,,,5,1,Bombing/Explosion,Transportation,Extremists,Explosives,0,0,1,,0,
1981,8,15,India,Manipur,Unknown,24.663717,93.906269,4,1,Bombing/Explosion,Private Citizens & Property,People's Liberation Army (India),Explosives,0,2,1,,0,
1981,8,15,India,Assam,Unknown,26.200605,92.937574,4,1,Bombing/Explosion,Transportation,Dissident,Explosives,0,0,1,,0,
1981,9,1,India,Manipur,Unknown,24.663717,93.906269,4,1,Unknown,Government (General),Unknown,Unknown,9,3,1,,0,
1981,9,15,India,Gujarat,Massad,21.214186,73.243362,1,1,Assassination,Military,Unknown,Unknown,1,0,0,,0,
1981,9,29,India,Delhi,New Delhi,28.585836,77.153336,1,1,Hijacking,Airports & Aircraft,Sikh Extremists,Firearms,0,0,0,,1,0
1981,10,16,India,Chandigarh,Chandigarh,30.733315,76.779418,1,1,Assassination,Government (General),Sikh Extremists,Firearms,1,2,0,,0,
1981,11,29,India,Chandigarh,Chandigarh,30.733315,76.779418,1,1,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives,3,0,1,,0,
1982,2,19,India,Manipur,Unknown,24.663717,93.906269,4,1,Unknown,Military,Secessionists,Unknown,20,5,1,,0,
1982,6,4,India,West Bengal,Unknown,22.986757,87.854975,4,1,Unknown,Violent Political Party,Naxalites,Unknown,6,2,1,,0,
1982,6,9,India,Assam,Gauhati,26.149794,91.763931,1,1,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives,19,50,1,,0,
1982,6,14,India,Delhi,New Delhi,28.585836,77.153336,1,1,Assassination,Government (Diplomatic),Unknown,Firearms,1,0,0,,0,
1982,6,15,India,Mizoram,Aizawl,23.727107,92.717639,1,1,Assassination,Government (General),Unknown,Firearms,1,0,0,,0,
1982,6,20,India,Mizoram,Unknown,23.164543,92.937574,4,1,Assassination,Unknown,Mizo National Front,Firearms,4,0,0,,0,
1982,8,20,India,Rajasthan,Jodhpur,26.292047,73.032411,1,1,Hijacking,Airports & Aircraft,Sikh Extremists,Firearms,1,1,0,,1,
